Year,Continent,TotalCases 
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,5
2020,Asia,8
2020,Asia,8
2020,Asia,8
2020,Asia,8
2020,Asia,11
2020,Asia,11
2020,Asia,11
2020,Asia,14
2020,Asia,20
2020,Asia,25
2020,Asia,26
2020,Asia,26
2020,Asia,26
2020,Asia,24
2020,Asia,24
2020,Asia,34
2020,Asia,40
2020,Asia,42
2020,Asia,74
2020,Asia,80
2020,Asia,91
2020,Asia,106
2020,Asia,114
2020,Asia,114
2020,Asia,166
2020,Asia,192
2020,Asia,235
2020,Asia,269
2020,Asia,270
2020,Asia,299
2020,Asia,337
2020,Asia,367
2020,Asia,423
2020,Asia,444
2020,Asia,521
2020,Asia,521
2020,Asia,555
2020,Asia,607
2020,Asia,665
2020,Asia,770
2020,Asia,794
2020,Asia,845
2020,Asia,908
2020,Asia,933
2020,Asia,996
2020,Asia,1026
2020,Asia,1092
2020,Asia,1176
2020,Asia,1226
2020,Asia,1330
2020,Asia,1463
2020,Asia,1531
2020,Asia,1703
2020,Asia,1827
2020,Asia,1827
2020,Asia,2171
2020,Asia,2469
2020,Asia,2469
2020,Asia,2469
2020,Asia,2469
2020,Asia,3224
2020,Asia,3392
2020,Asia,3563
2020,Asia,3563
2020,Asia,4402
2020,Asia,4664
2020,Asia,4967
2020,Asia,4967
2020,Asia,5339
2020,Asia,6053
2020,Asia,6402
2020,Asia,6635
2020,Asia,7072
2020,Asia,7655
2020,Asia,8145
2020,Asia,8676
2020,Asia,9216
2020,Asia,9952
2020,Asia,10668
2020,Asia,11180
2020,Asia,11917
2020,Asia,12465
2020,Asia,13102
2020,Asia,13745
2020,Asia,14529
2020,Asia,15180
2020,Asia,15836
2020,Asia,16578
2020,Asia,17353
2020,Asia,17977
2020,Asia,19055
2020,Asia,19637
2020,Asia,20428
2020,Asia,21003
2020,Asia,21308
2020,Asia,22228
2020,Asia,22976
2020,Asia,23632
2020,Asia,24188
2020,Asia,24852
2020,Asia,25613
2020,Asia,25719
2020,Asia,26960
2020,Asia,27423
2020,Asia,27964
2020,Asia,28383
2020,Asia,28919
2020,Asia,29229
2020,Asia,29567
2020,Asia,29726
2020,Asia,30261
2020,Asia,30346
2020,Asia,30702
2020,Asia,31053
2020,Asia,31324
2020,Asia,31445
2020,Asia,31848
2020,Asia,32108
2020,Asia,32410
2020,Asia,32758
2020,Asia,33037
2020,Asia,33150
2020,Asia,33470
2020,Asia,33680
2020,Asia,33739
2020,Asia,34280
2020,Asia,34437
2020,Asia,34537
2020,Asia,34541
2020,Asia,34826
2020,Asia,35026
2020,Asia,35156
2020,Asia,35315
2020,Asia,35375
2020,Asia,35561
2020,Asia,35595
2020,Asia,35701
2020,Asia,35813
2020,Asia,36001
2020,Asia,36067
2020,Asia,36122
2020,Asia,36243
2020,Asia,36349
2020,Asia,36454
2020,Asia,36557
2020,Asia,36628
2020,Asia,36628
2020,Asia,36796
2020,Asia,36796
2020,Asia,36796
2020,Asia,36833
2020,Asia,36915
2020,Asia,36982
2020,Asia,37023
2020,Asia,37101
2020,Asia,37140
2020,Asia,37140
2020,Asia,37355
2020,Asia,37431
2020,Asia,37510
2020,Asia,37517
2020,Asia,37637
2020,Asia,37682
2020,Asia,37682
2020,Asia,37685
2020,Asia,37685
2020,Asia,37845
2020,Asia,37942
2020,Asia,37980
2020,Asia,38039
2020,Asia,38085
2020,Asia,38156
2020,Asia,38199
2020,Asia,38215
2020,Asia,38226
2020,Asia,38229
2020,Asia,38229
2020,Asia,38248
2020,Asia,38282
2020,Asia,38329
2020,Asia,38374
2020,Asia,38374
2020,Asia,38390
2020,Asia,38484
2020,Asia,38580
2020,Asia,38606
2020,Asia,38630
2020,Asia,38658
2020,Asia,38692
2020,Asia,38727
2020,Asia,38802
2020,Asia,38858
2020,Asia,38901
2020,Asia,38941
2020,Asia,38958
2020,Asia,38969
2020,Asia,39005
2020,Asia,39130
2020,Asia,39160
2020,Asia,39182
2020,Asia,39231
2020,Asia,39256
2020,Asia,39272
2020,Asia,39278
