Date,American Pitbull Terrier,Rottweiler,German Shepherd,Pit Bull,Golden Retriever ,Chihuahua,Labrador Retriever ,Siberian Husky,Australian Cattle Dog
2020,2,0,0,0,0,0,0,0,0
2020,0,0,0,1,0,0,0,0,0
2020,0,10,1,0,0,0,0,0,0
2020,1,0,0,0,0,2,0,0,0
2020,0,0,2,0,1,0,0,0,0
2020,3,0,0,0,0,0,0,0,1
2020,0,0,0,1,0,6,0,0,0
2020,0,0,0,0,0,1,0,0,0
2020,0,0,0,0,0,0,1,0,0
2020,0,0,0,0,0,0,1,0,0
2021,0,1,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,1,0
2021,0,0,0,0,0,0,2,0,0
2021,0,0,1,0,0,0,0,0,0
2021,0,0,0,0,0,2,0,0,0
2021,0,0,2,1,0,0,0,1,0
2022,0,0,0,2,0,0,1,0,0
2022,0,0,1,0,2,2,0,0,0
2022,0,0,0,0,0,2,0,0,2
2022,0,0,1,0,0,0,0,0,0
2022,0,0,0,2,1,0,0,0,0
2022,1,0,0,0,0,0,1,0,1
2022,0,0,2,0,0,0,0,0,0
2022,0,0,1,0,0,0,0,0,0
2022,0,2,0,0,0,0,0,0,0
2022,0,0,0,4,0,0,0,1,0
2022,0,0,1,0,0,1,0,1,0
2022,1,0,0,0,0,0,1,0,0
2022,0,0,0,1,0,0,0,0,0
2022,0,0,1,0,0,1,1,0,0
2022,2,0,1,0,0,0,0,0,0
2022,0,0,0,1,2,0,0,0,0
